frame,gt_v0_x,gt_v0_y,gt_v0_z,gt_v1_x,gt_v1_y,gt_v1_z,gt_v2_x,gt_v2_y,gt_v2_z,gt_v3_x,gt_v3_y,gt_v3_z,gt_v4_x,gt_v4_y,gt_v4_z,gt_v5_x,gt_v5_y,gt_v5_z,gt_v6_x,gt_v6_y,gt_v6_z,gt_v7_x,gt_v7_y,gt_v7_z,gt_center_x,gt_center_y,gt_center_z,noisy_v0_x,noisy_v0_y,noisy_v0_z,noisy_v1_x,noisy_v1_y,noisy_v1_z,noisy_v2_x,noisy_v2_y,noisy_v2_z,noisy_v3_x,noisy_v3_y,noisy_v3_z,noisy_v4_x,noisy_v4_y,noisy_v4_z,noisy_v5_x,noisy_v5_y,noisy_v5_z,noisy_v6_x,noisy_v6_y,noisy_v6_z,noisy_v7_x,noisy_v7_y,noisy_v7_z,noisy_center_x,noisy_center_y,noisy_center_z,kabsch_v0_x,kabsch_v0_y,kabsch_v0_z,kabsch_v1_x,kabsch_v1_y,kabsch_v1_z,kabsch_v2_x,kabsch_v2_y,kabsch_v2_z,kabsch_v3_x,kabsch_v3_y,kabsch_v3_z,kabsch_v4_x,kabsch_v4_y,kabsch_v4_z,kabsch_v5_x,kabsch_v5_y,kabsch_v5_z,kabsch_v6_x,kabsch_v6_y,kabsch_v6_z,kabsch_v7_x,kabsch_v7_y,kabsch_v7_z,kabsch_center_x,kabsch_center_y,kabsch_center_z,opt_no_filter_v0_x,opt_no_filter_v0_y,opt_no_filter_v0_z,opt_no_filter_v1_x,opt_no_filter_v1_y,opt_no_filter_v1_z,opt_no_filter_v2_x,opt_no_filter_v2_y,opt_no_filter_v2_z,opt_no_filter_v3_x,opt_no_filter_v3_y,opt_no_filter_v3_z,opt_no_filter_v4_x,opt_no_filter_v4_y,opt_no_filter_v4_z,opt_no_filter_v5_x,opt_no_filter_v5_y,opt_no_filter_v5_z,opt_no_filter_v6_x,opt_no_filter_v6_y,opt_no_filter_v6_z,opt_no_filter_v7_x,opt_no_filter_v7_y,opt_no_filter_v7_z,opt_no_filter_center_x,opt_no_filter_center_y,opt_no_filter_center_z,opt_v0_x,opt_v0_y,opt_v0_z,opt_v1_x,opt_v1_y,opt_v1_z,opt_v2_x,opt_v2_y,opt_v2_z,opt_v3_x,opt_v3_y,opt_v3_z,opt_v4_x,opt_v4_y,opt_v4_z,opt_v5_x,opt_v5_y,opt_v5_z,opt_v6_x,opt_v6_y,opt_v6_z,opt_v7_x,opt_v7_y,opt_v7_z,opt_center_x,opt_center_y,opt_center_z
0,2.0,-1.0,-1.0,4.0,-1.0,-1.0,4.0,1.0,-1.0,2.0,1.0,-1.0,2.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0496714153011233,-1.0138264301171185,-0.9352311461899308,4.1523029856408025,-1.0234153374723336,-1.023413695694918,4.157921281550739,1.076743472915291,-1.0469474385934951,2.0542560043585967,0.9536582307187538,-1.0465729753570256,2.0241962271566036,-1.1913280244657798,0.8275082167486967,3.9437712470759028,-1.1012831120334423,1.0314247332595274,3.909197592447879,0.8587696298664709,1.1465648768921555,1.9774223699513465,1.0067528204687923,0.8575251813786543,3.0335923904353743,-0.05424109376492081,-0.023642780944541905,2.1057088692023913,-1.0354576145038978,-1.10890128968749,4.101993670095233,-1.0202722397723138,-0.9880029930969603,4.083594401372231,0.9789486698002217,-0.9353036416927677,2.0873096004793905,0.9637632950686377,-1.0562019382832974,1.985257797664239,-1.0891712917400092,0.8867455679110897,3.98154259855708,-1.0739859170084252,1.0076438645016195,3.9631433298340792,0.9252349925641103,1.060343215905812,1.9668585289412381,0.9100496178325264,0.9394449193152823,3.0344260995182353,-0.0551113109698938,-0.0242790368908391,2.001845395630549,-1.0264886909546376,-1.0247258834678212,4.001637573600785,-1.0182029387785199,-1.0523409380565596,3.993580010951498,0.9817122562665693,-1.0357792862091244,1.9937878329812624,0.9734265040904518,-1.008164231620386,2.0295278921439754,-1.042937366847815,0.9750148798433,4.029320070114212,-1.0346516146716975,0.9473998252545617,4.021262507464924,0.9652635803733919,0.9639614771019969,2.0214703294946887,0.9569778281972743,0.9915765316907352,3.0115539515477368,-0.03061255529062279,-0.030382203182912126,2.002466892670446,-1.0273671170542045,-1.0253580259510273,4.002259070640681,-1.0190813648780868,-1.0529730805397657,3.994201507991394,0.9808338301670019,-1.0364114286923305,1.9944093300211592,0.9725480779908844,-1.0087963741035921,2.0301493891838724,-1.043815792947382,0.9743827373600935,4.029941567154108,-1.0355300407712644,0.9467676827713551,4.0218840045048205,0.9643851542738244,0.9633293346187903,2.0220918265345853,0.9560994020977068,0.9909443892075287,3.0121754485876333,-0.03149098139018999,-0.031014345666118437
1,1.9524524549099895,-0.9005070030302168,-0.8630169801022141,3.948820238211587,-0.8758319073902208,-0.9809441332545904,3.9262406522052844,1.1237140655224789,-0.9448046188086355,1.9298728689036873,1.099038969882483,-0.826877465656259,2.0707987099891048,-0.9352495110537091,1.1331761773965756,4.067166493290702,-0.9105744154137132,1.0152490242441992,4.044586907284399,1.0889715574989864,1.0513885386901543,2.0482191239828023,1.0642964618589905,1.1693156918425305,2.9985196810971946,0.09423227723438485,0.0941857792939701,1.8980141824574712,-0.8894147440592302,-0.9781163378444444,3.986390040046154,-0.9358957763821013,-1.010113508233918,3.8660699909823446,1.3089418839733726,-0.9461543412824289,1.8241017760080973,1.1812934610928019,-0.9489618306533611,2.0916850694895803,-1.1312165234416867,1.0003575725067326,4.086852616877614,-0.8367277574141722,1.0323858523631961,4.033022079045575,1.0588611879400576,0.9035363396534115,1.9762347031433314,1.0182325847630118,1.275027914464422,2.970296307256271,0.09675928955900673,0.04099520762170128,2.001228172389537,-0.9364438117194032,-0.9111089716668977,3.9954680834709375,-0.8400703393094103,-1.0282385190308754,3.9049023868380344,1.1553800085573187,-0.928359773584469,1.9106624757566342,1.0590065361473258,-0.8112302262204912,2.12290410116531,-1.0307309424117272,1.0829584558145209,4.11714401224671,-0.9343574700017344,0.965828908450543,4.026578315613808,1.0610928778649946,1.0657076538969497,2.032338404532407,0.9647194054550018,1.1828372012609274,3.013903244001672,0.062324533072795674,0.07729934111502595,1.983430194451132,-0.9150795961741638,-0.9199237415051863,3.9831298693571493,-0.9059070537245995,-0.9533464081519406,3.97424859929538,1.0939968104446915,-0.935863355705984,1.974548924389363,1.0848242679951272,-0.9024406890592298,2.0169314365603292,-0.9324116054560987,1.079720543919447,4.016631111466347,-0.9232390630065344,1.0462978772726927,4.007749841404578,1.0766648011627566,1.0637809297186493,2.00805016649856,1.0674922587131923,1.0972035963654037,2.9955900179278547,0.08079260249429643,0.07192859410673152,1.9899737596086706,-0.921031671986977,-0.9188134358287382,3.989673434514688,-0.9118591295374127,-0.9522361024754925,3.980792164452919,1.0880447346318785,-0.9347530500295359,1.9810924895469018,1.0788721921823141,-0.9013303833827817,2.023475001717868,-0.9383636812689119,1.080830849595895,4.023174676623885,-0.9291911388193476,1.0474081829491408,4.014293406562116,1.0707127253499436,1.0648912353950972,2.014593731656099,1.0615401829003792,1.0983139020418515,3.0021335830853935,0.07484052668148328,0.07303889978317951
2,1.904502450124238,-0.8024199945394426,-0.7236757812757656,3.889987918030533,-0.7510716749552686,-0.9586455810560788,3.847013366961958,1.2471140085330186,-0.8851121718946506,1.8615278990556627,1.1957656889488446,-0.6501423721143373,2.1411470036076707,-0.8703708913571382,1.2611118725875634,4.126632471513966,-0.8190225717729642,1.0261420728072501,4.083657920445391,1.1791631117153227,1.0996754819686783,2.098172452539096,1.1278147921311488,1.3346452817489916,2.9940801852848145,0.18837155858794008,0.1879998503464564,1.9388642790810842,-0.978724010075716,-0.6912673843362861,3.8514796899889014,-0.8187638749858644,-0.897477952171992,3.950113319211553,1.3402420204446384,-0.9690339242169145,1.8306066614705412,1.228892032089201,-0.5525878594021014,2.093229579823142,-0.8889367890235199,1.1504783751869605,4.007011809105899,-0.7377699895335444,1.1617660756643324,4.076456908287358,1.279516401504525,1.1358390844734416,2.0336604770785836,1.1639543526819902,1.4884489383955886,2.972677840505883,0.19855126788771374,0.22827066919912864,1.9337079958811887,-0.8384763363803327,-0.7395541110903606,3.922503303448437,-0.7690561708799895,-0.9392390259447365,3.8573945884567844,1.2293479213232519,-0.8929579337204221,1.868599280889536,1.1599277558229086,-0.6932730188660461,2.1348399919201833,-0.8779975317980415,1.2499141583932534,4.1236352994874315,-0.8085773662976983,1.0502292435388774,4.0585265844957785,1.189826725905543,1.096510335763192,2.0697312769285308,1.1204065604051998,1.2961952506175678,2.996117290188484,0.17567519476260518,0.17847811233641564,1.9694424552383807,-0.8097828158598843,-0.8127434132304742,3.968982948859769,-0.7999706165641128,-0.8544751171654299,3.959562676287949,1.199918262867937,-0.835614353959945,1.9600221826665603,1.1901060635721654,-0.7938826500249891,2.0112643733317364,-0.8284426837318932,1.1867322021492166,4.010804866953125,-0.8186304844361216,1.1450004982142608,4.001384594381305,1.181258394995928,1.1638612614197459,2.001844100759916,1.1714461957001565,1.2055929653547015,2.9854135248098426,0.1857377895680219,0.1755589240946358,1.9768466824586237,-0.8165060853120206,-0.8120059852311692,3.976387176080012,-0.8066938860162491,-0.8537376891661249,3.966966903508191,1.1931949934158002,-0.83487692596064,1.9674264098868033,1.1833827941200286,-0.7931452220256842,2.0186686005519796,-0.8351659531840295,1.187469630148521,4.0182090941733675,-0.8253537538882579,1.1457379262135654,4.008788821601547,1.1745351255437912,1.1645986894190503,2.009248327980159,1.1647229262480199,1.2063303933540062,2.9928177520300854,0.17901452011588528,0.17629635209394062
3,1.8563260829899828,-0.7058474585082657,-0.5825263195734846,3.823722084331286,-0.6259330537048029,-0.9331923456027532,3.762617678753994,1.3699914464628602,-0.8211582380751304,1.7952216774126912,1.2900770416593974,-0.4704922120458618,2.210754108864486,-0.8053415665517742,1.3833021818323044,4.178150110205789,-0.7254271617483115,1.0326361558030355,4.117045704628497,1.2704973384193514,1.1446702633306582,2.149649703287194,1.1905829336158886,1.4953362893599271,2.98668589380924,0.2823249399555429,0.2810719718785869,1.8527434790789876,-0.549383092926865,-0.844500829982459,3.9059123347688085,-0.6172283468809858,-0.96309308064934,3.7717937564075443,1.171234555002771,-0.8431254268588816,1.8309329345638659,1.437866446133549,-0.5223192338732265,2.129904748575167,-0.8555172709102279,1.4748423936025117,4.211025221171758,-0.7784031821250154,1.083962899114371,4.126753459563301,1.3673618374726404,1.074464953942923,2.1168834886274173,1.1513721183026728,1.3489847945467153,2.993243677844606,0.2909128830085674,0.2261520587303267,1.8597648001749545,-0.6814350808435591,-0.621842939561732,3.8395809263814273,-0.6497332716211662,-0.9034865116609768,3.822610270607676,1.3474099601946161,-0.797983391067215,1.8427941444012028,1.315708150972223,-0.5163398189679701,2.1426783969768834,-0.7834836325453841,1.3554142490306265,4.122494523183357,-0.7517818233229913,1.0737706769313813,4.105523867409605,1.245361408492791,1.1792737975251433,2.125707741203132,1.213659599270398,1.4609173696243882,2.9826443337922797,0.28196316382461595,0.27871542898170565,1.9592529966135952,-0.7121108995440524,-0.708544350675572,3.9585393705382996,-0.7013759495873951,-0.7608774748746433,3.948362580072509,1.2984832255637446,-0.7394365677199392,1.9490762061478049,1.2877482756070875,-0.6871034435208677,2.0116975194431794,-0.7332778646838477,1.2906558723165995,4.010983893367884,-0.7225429147271906,1.238322748117528,4.000807102902093,1.2773162604239494,1.2597636552722322,2.001520728977389,1.2665813104672923,1.3120967794713034,2.9800300497578442,0.2826026804399485,0.2756096522983301,1.9637428468289246,-0.7154247870139452,-0.7061957738444669,3.9630292207536293,-0.704689837057288,-0.7585288980435383,3.952852430287839,1.2951693380938523,-0.7370879908888341,1.9535660563631343,1.2844343881371951,-0.6847548666897627,2.0161873696585086,-0.7365917521537406,1.2930044491477048,4.015473743583214,-0.7258568021970835,1.2406713249486334,4.005296953117423,1.274002372954057,1.2621122321033378,2.0060105791927185,1.2632674229973997,1.314445356302409,2.984519899973174,0.2792887929700559,0.2779582291294353
4,1.808091599001253,-0.610892452187846,-0.44012564743565463,3.750262373468114,-0.5006318381777409,-0.904684879186471,3.6733647741886664,1.492139508630617,-0.7531952143090872,1.731193999721805,1.381878894620512,-0.28863598255827094,2.2793234336982007,-0.7401401072447915,1.4992648758036515,4.221494208165062,-0.6298794932346865,1.0347056440528353,4.144596608885614,1.3628918535736716,1.1861953089302189,2.202425834418753,1.2526312395635664,1.6507545406810353,2.9763441039434335,0.3759997006929128,0.3730348307472821,1.8377036267077105,-0.5847869249698571,-0.43961430177140853,3.7268036601305994,-0.6421689123827824,-0.946749411463007,3.6390933225359894,1.4119117817084552,-0.7693237854756881,1.7715990854032588,1.5704974847415651,-0.27117820127508707,2.305078472770477,-0.7475846988214082,1.3073877542737473,4.21884282062014,-0.6238564722405838,1.281029855301364,4.125360512407502,1.3930465878070328,1.1827241319596946,2.0855580306568,1.3669135210150685,1.7259478439497127,2.9637549414040594,0.39299654585718624,0.38377798568741595,1.807509673113184,-0.5945068783170735,-0.4541049578358825,3.7632463977134094,-0.5289236284953576,-0.8673756940280366,3.722356125594401,1.4668587152538262,-0.7441652154758935,1.7666194009941758,1.4012754654321102,-0.33089447928373944,2.2239491641512172,-0.7065411307662107,1.4988483126194418,4.179685888751442,-0.6409578809444948,1.0855775764272877,4.138795616632434,1.354824462804689,1.2087880549794308,2.183058892032209,1.2892412129829731,1.622058791171585,2.973152644872809,0.3801587922438078,0.37734154857177415,1.9496570715160373,-0.6213798993455202,-0.6016365995197508,3.9485613475609282,-0.6087873573698612,-0.6666221601931934,3.936768934094541,1.3910242679387836,-0.6418350210877313,1.9378646580496501,1.3784317259631247,-0.5768494604142889,2.0147925779168334,-0.645770290219531,1.3971536532679008,4.013696853961724,-0.6331777482438721,1.3321680925944583,4.001904440495338,1.366633877064773,1.3569552316999205,2.0030001644504463,1.354041335089114,1.421940792373363,2.975780756005687,0.37262698885962636,0.37765931609008474,1.9506568329927605,-0.6191895608299467,-0.6019273557774993,3.9495611090376515,-0.6065970188542877,-0.6669129164509418,3.9377686955712643,1.3932146064543574,-0.6421257773454796,1.9388644195263733,1.3806220644786982,-0.5771402166720372,2.0157923393935566,-0.6435799517039574,1.3968628970101524,4.014696615438448,-0.6309874097282985,1.33187733633671,4.00290420197206,1.3688242155803465,1.356664475442172,2.0039999259271695,1.3562316736046875,1.4216500361156146,2.9767805174824105,0.3748173273751999,0.3773685598323363
5,1.7599587494082451,-0.5176524738019678,-0.2970357552585249,3.6698680891373776,-0.37538528922174164,-0.8732356877533541,3.579576285482652,1.6133533782443998,-0.6814913196019735,1.6696669457535196,1.4710861936641737,-0.10529138710714414,2.3465537580881746,-0.6747465880030146,1.6085423027268155,4.256463097817307,-0.5324794034227884,1.0323423702319863,4.166171294162582,1.4562592640433532,1.2240867383833671,2.256261954433449,1.313992079463127,1.8002866708781964,2.9630650217854133,0.46930339512069263,0.46352549156242107,1.8390619441125498,-0.6085912192814417,-0.15675632416491495,3.5296829828581497,-0.3166995798417146,-0.6541901251723563,3.4805226529695834,1.5567236052841227,-0.6715261830932094,1.6193193803418997,1.3160198505575604,-0.0984350896265414,2.240323386715564,-0.6273873449394964,1.5165998793034352,4.411456538319062,-0.6108047326564121,1.0001362186114187,4.2475230158995485,1.3331728323999577,1.24683273184378,2.3869762298616917,1.1532437560070044,1.8187500567314268,2.969358266384756,0.39945964594119754,0.5001763955541298,1.7478411042793112,-0.5232612610678979,-0.25324170655020284,3.6388764677279974,-0.36593844385785346,-0.8850919937002442,3.5398269241231333,1.6217239778863248,-0.6866296922479624,1.648791560674447,1.4644011606762803,-0.05477940509792112,2.391404964434745,-0.6796186349623301,1.6339196351295895,4.282440327883432,-0.5222958177522856,1.0020693479795482,4.183390784278567,1.4653666039918927,1.2005316494318299,2.292355420829881,1.3080437867818482,1.8323819365818712,2.965615944278939,0.47105267146199736,0.4736449714408135,1.93979992158722,-0.5339564803484701,-0.4967773843907472,3.938181207735143,-0.5187500466404127,-0.5757773815278164,3.924104732729391,1.4809923857142597,-0.5469319816929996,1.9257234465814685,1.4657859520062024,-0.4679319845559305,2.0190090626328527,-0.562222513216569,1.5014535690680146,4.017390348780776,-0.5470160795085117,1.4224535719309457,4.003313873775024,1.452726352846161,1.4512989717657623,2.004932587627101,1.4375199191381034,1.5302989689028315,2.971556897681122,0.45938493624884535,0.47726079368750757,1.9367045989555554,-0.5276274436282886,-0.4999925167449755,3.9350858851034785,-0.5124210099202311,-0.5789925138820446,3.9210094100977266,1.4873214224344413,-0.5501471140472278,1.922628123949804,1.472114988726384,-0.4711471169101588,2.015913740001188,-0.5558934764963874,1.4982384367137864,4.014295026149111,-0.5406870427883301,1.4192384395767172,4.00021855114336,1.4590553895663423,1.448083839411534,2.0018372649954363,1.443848955858285,1.5270838365486032,2.9684615750494574,0.46571397296902695,0.4740456613332793
6,1.71207819095874,-0.42621935137423195,-0.15382135347496506,3.5828172092309196,-0.25041155017203476,-0.8389688868942209,3.481583051333234,1.7334308271119878,-0.606329536467805,1.6108440330610543,1.5576230259097905,0.07881799695145086,2.412140453038898,-0.6091429395976402,1.7107031945218387,4.282879471311078,-0.4333351383954429,1.025555661102583,4.181645313413393,1.5505072388885797,1.2581950115289988,2.3109062951412125,1.3746994376863824,1.9433425449482546,2.946861752186066,0.5621439437571738,0.5521868290270169,1.7380664703835822,-0.34803706419650093,-0.27751642456277326,3.450771547922492,-0.198217393610345,-0.8092704195709023,3.506632336367822,1.7680756480616855,-0.674332008625654,1.6340694027771547,1.5869302732396586,0.00738285514881408,2.5987179041533737,-0.5617596475064615,1.5915728448015738,4.348534832174461,-0.5308033054181751,1.104264121476828,4.297504871314133,1.4684390070534086,1.354532624453431,2.3521843878348623,1.4569054536858315,2.1330218432136494,2.9908102191159847,0.5801916214136378,0.5537069295418708,1.6946269628792505,-0.3861903716565759,-0.15208841276474605,3.5646682927657505,-0.2397720235930133,-0.8459955332547067,3.512427734023727,1.7402619941877486,-0.5689825146918694,1.642386404137227,1.593843646124186,0.12492460579809095,2.401886709039494,-0.6270782206264045,1.703108799307339,4.271928038925994,-0.4806598725628419,1.0092016788173788,4.21968748018397,1.49937414521792,1.2862146973802155,2.3496461502974704,1.3529557971543573,1.9801218178701763,2.9571572215316104,0.5565918867806721,0.5670631423077348,1.9264963375160722,-0.4424159874724768,-0.3980660154306237,3.924255095433594,-0.42451804233971346,-0.4910155109852775,3.9078916489018525,1.5751369977236855,-0.4576694712406658,1.9101328909843307,1.5572390525909223,-0.3647199756860121,2.019728213939551,-0.4749641718929781,1.5994946051537644,4.017486971857073,-0.4570662267602149,1.5065451095991107,4.001123525325331,1.5425888133031842,1.5398911493437222,2.0033647674078097,1.5246908681704208,1.6328406448983759,2.963809931420702,0.5500864129153537,0.5709125669565492,1.9207636420678607,-0.43960271851930477,-0.401293000631889,3.9185223999853824,-0.42170477338654144,-0.4942424961865428,3.902158953453641,1.5779502666768574,-0.4608964564419311,1.9044001955361192,1.5600523215440942,-0.3679469608872774,2.0139955184913396,-0.4721509029398061,1.596267619952499,4.011754276408862,-0.4542529578070429,1.5033181243978453,3.99539082987712,1.5454020822563561,1.536664164142457,1.9976320719595981,1.527504137123593,1.6296136596971107,2.9580772359724907,0.5528996818685257,0.5676855817552839
7,1.6645909301107025,-0.336679152849113,-0.011047643900377935,3.489405327570278,-0.12592905846365132,-0.8020197120170496,3.3797238500350613,1.8521727412187956,-0.5280064941264593,1.5549094525754856,1.641422646833334,0.26296557399021236,2.4757767215974233,-0.5433132928395401,1.8053443688216775,4.300591119056999,-0.33256319845407856,1.0143723007050058,4.190909641521782,1.6455386012283686,1.2883855185955961,2.3660952440622065,1.434788506842907,2.079357586712268,2.9277502858162423,0.6544297241896277,0.6386689373476091,1.6400521185104153,-0.41205276928486195,-0.09999908686293027,3.4078242990737344,-0.13363922940506173,-0.7679045145353852,3.407392929968063,1.934891066122398,-0.5267063049386685,1.7002628602912173,1.6149569635095384,0.5349824906491742,2.538343456373924,-0.6290290484811684,1.6982551190155664,4.3488383605813175,-0.35490947698666364,1.0857723501142151,4.2382334039791365,1.6382557099626813,1.2037061467887555,2.2146105215936203,1.3901370116362048,2.1649974661446154,2.936944743796429,0.6310762783841334,0.6616379582969178,1.6802733258402527,-0.3372155945097367,-0.011222603544886911,3.4931264037403764,-0.0851533089735822,-0.8174659428403753,3.37365665828289,1.8810500576563491,-0.47138603736557083,1.5608035803827662,1.6289877721201944,0.3348573019299176,2.516509355839184,-0.6027507621682152,1.7860532174876589,4.329362433739307,-0.3506884766320607,0.9798098781921706,4.209892688281821,1.6155148899978706,1.325889783666975,2.3970396103816975,1.363452604461716,2.1321331229624634,2.9450830070610365,0.6391496477440669,0.657333590061044,1.9062834420425996,-0.35282076700278286,-0.3036665261877729,3.9033225559584217,-0.33177024814675316,-0.4103982138264496,3.8842383040591084,1.6677910538452863,-0.3731102679814159,1.8871991901432865,1.6467405349892568,-0.266378580342739,2.0133841834954564,-0.389035062961569,1.6931354058897323,4.010423297411278,-0.36798454410553927,1.5864037182510553,3.9913390455119653,1.6315767578865001,1.6236916640960892,1.9942999315961434,1.6105262390304707,1.7304233517347658,2.9488112437772824,0.6393779954418587,0.6600125689541583,1.9016980601917564,-0.35436261157651594,-0.30556600109233,3.8987371741075787,-0.33331209272048623,-0.41229768873100703,3.8796529222082654,1.6662492092715537,-0.3750097428859731,1.8826138082924433,1.645198690415524,-0.2682780552472962,2.0087988016446134,-0.39057690753530205,1.6912359309851754,4.005837915560436,-0.36952638867927234,1.5845042433464984,3.9867536636611227,1.6300349133127676,1.6217921891915323,1.9897145497453002,1.608984394456738,1.7285238768302094,2.94422586192644,0.6378361508681258,0.6581130940496012
8,1.6176278138712228,-0.2491121175926494,0.13072191086064833,3.3899445346599273,-0.002155954730209575,-0.7625339846346082,3.274344109804004,1.9693836353683782,-0.4468312978436637,1.5020273890152993,1.7224274725059385,0.4464245976515928,2.5371548569677826,-0.4772443123792496,1.8920923201488098,4.309471577756487,-0.23028814951680976,0.9988364246535533,4.193871152900564,1.741251440581778,1.3145391114444978,2.421554432111859,1.4942952777193383,2.2077950069397545,2.9057494833858932,0.7460696614945644,0.722630511152573,1.6390371882842432,-0.3736859954638482,0.14804000344576654,3.428476272632811,-0.09054169835032289,-0.7471614740400554,3.280164981648604,1.855086605585316,-0.41105256180883537,1.5581058416521227,1.8307325968234662,0.5518048028550832,2.3993879201720736,-0.5710268163707619,1.9435958468696757,4.360850172847708,-0.17878338088620496,1.3841095737190254,4.25096020396988,1.8548080045998379,1.409939287793818,2.486693557242439,1.4627683532553037,2.2836919289890814,2.925459517306235,0.7236697086490982,0.8203709259779449,1.657655726245203,-0.28523806484853476,0.13253824806113246,3.4610054244016952,-0.06513791116118273,-0.7038144218728452,3.3411938774631738,1.9139388838482096,-0.44132588369346115,1.5378441793066817,1.6938387301608577,0.39502678624051635,2.5141456907976707,-0.47181502431072364,1.9302072884628294,4.317495388954162,-0.25171487062337183,1.0938546185288518,4.197683842015642,1.7273619243860208,1.3563431567082356,2.3943341438591492,1.5072617706986686,2.1926958266422134,2.9276697841304222,0.721061929768743,0.7444407023846842,1.880795043822427,-0.26459442349709295,-0.2153977603230086,3.8770178337750996,-0.24069387644739115,-0.3359105676270172,3.855533046296515,1.7587773486062475,-0.2952507091729889,1.8593102563438424,1.7348768015565457,-0.17473790186898008,2.001761885479834,-0.3038828955114965,1.7805540024173152,3.9979846754325066,-0.2799823484617947,1.6600411951133065,3.976499887953922,1.719488876591844,1.700701053567335,1.9802770980012494,1.6955883295421421,1.8212138608713437,2.9286474658881745,0.7274472265473755,0.7426516466221632,1.878088506945427,-0.2698111445079887,-0.21287681508458245,3.8743112968980986,-0.24591059745828692,-0.33338962238859104,3.852826509419514,1.7535606275953513,-0.29272976393456274,1.856603719466842,1.7296600805456495,-0.17221695663055403,1.999055348602834,-0.30909961652239226,1.783074947655741,3.9952781385555056,-0.28519906947269047,1.6625621403517323,3.973793351076921,1.7142721555809477,1.7032219988057609,1.9775705611242491,1.690371608531246,1.8237348061097693,2.925940929011174,0.7222305055364795,0.7451725918605892
9,1.5713090692245189,-0.16359260927548414,0.2709278111438209,3.284762241829998,0.12069050854634877,-0.7206675368735627,3.1657946013511578,2.0848721551220337,-0.36312430903372706,1.4523414287456786,1.8005890373002007,0.6284710389836565,2.595967512710501,-0.4109255188866582,1.9706046939707171,4.30942068531598,-0.12664240106482505,0.9790093459533336,4.19045304483714,1.8375392455108597,1.3365525737931692,2.476999872231661,1.5532561276890269,2.3281479218105527,2.8808810570308294,0.8369733181176878,0.803740192468495,1.4940265477707617,-0.18727446994948502,0.22239145636091057,3.29294965576863,0.35215636521369964,-0.9073940561327375,3.234420620388609,1.9236005680030686,-0.4103174956126704,1.5612364884424152,1.8070170392097469,0.5206965611907259,2.5244371417845044,-0.3429657439931906,1.8975680307990035,4.331066544274178,-0.12208521707444367,0.9138493111927518,4.404847453769673,1.9009311477426607,1.1340383151274085,2.4956453037086037,1.487077481212188,2.413391255290175,2.9173287194884217,0.8523071462955305,0.723027922276946,1.562843782278898,-0.15723346479815237,0.3036231431089855,3.268405247420156,0.09600153270290412,-0.7097534525679845,3.203524470304994,2.0582727459923484,-0.3285944696533698,1.497963005163736,1.8050377484912923,0.6847821260236002,2.6053650402809296,-0.4494041709550338,1.9852252675955273,4.310926505422188,-0.19616917345397744,0.9718486719185573,4.246045728307026,1.7661020398354672,1.353007654833172,2.5404842631657676,1.5128670423344106,2.366384250510142,2.9044447552929618,0.8044342875186574,0.8283153989710788,1.8498615387268327,-0.17853659525710908,-0.13413725239287055,3.845135795111746,-0.1516530013787185,-0.26888855735060235,3.821215341155779,1.847704546968224,-0.22419844937753997,1.8259410847708655,1.8208209530898334,-0.08944714441980817,1.9851702734418182,-0.2215094500410919,1.8608176042546538,3.980444529826732,-0.19462585616270123,1.726066299296922,3.9565240758707647,1.8047316921842413,1.7707564072699844,1.961249819485851,1.7778480983058507,1.9055077122277162,2.903192807298799,0.8130975484635661,0.8183095774385569,1.8495019402081367,-0.18389816546359017,-0.12384937820242692,3.8447761965930507,-0.1570145715851996,-0.2586006831601587,3.8208557426370833,1.842342976761743,-0.21391057518709633,1.8255814862521695,1.8154593828833523,-0.07915927022936453,1.9848106749231222,-0.226871020247573,1.8711054784450973,3.9800849313080358,-0.19998742636918232,1.7363541734873658,3.9561644773520688,1.79937012197776,1.781044281460428,1.960890220967155,1.7724865280993696,1.91579558641816,2.9028332087801028,0.807735978257085,0.8285974516290007
