frame,gt_v0_x,gt_v0_y,gt_v0_z,gt_v1_x,gt_v1_y,gt_v1_z,gt_v2_x,gt_v2_y,gt_v2_z,gt_v3_x,gt_v3_y,gt_v3_z,gt_v4_x,gt_v4_y,gt_v4_z,gt_v5_x,gt_v5_y,gt_v5_z,gt_v6_x,gt_v6_y,gt_v6_z,gt_v7_x,gt_v7_y,gt_v7_z,gt_m0_x,gt_m0_y,gt_m0_z,gt_m1_x,gt_m1_y,gt_m1_z,gt_m2_x,gt_m2_y,gt_m2_z,gt_center_x,gt_center_y,gt_center_z,noisy_v0_x,noisy_v0_y,noisy_v0_z,noisy_v1_x,noisy_v1_y,noisy_v1_z,noisy_v2_x,noisy_v2_y,noisy_v2_z,noisy_v3_x,noisy_v3_y,noisy_v3_z,noisy_v4_x,noisy_v4_y,noisy_v4_z,noisy_v5_x,noisy_v5_y,noisy_v5_z,noisy_v6_x,noisy_v6_y,noisy_v6_z,noisy_v7_x,noisy_v7_y,noisy_v7_z,noisy_m0_x,noisy_m0_y,noisy_m0_z,noisy_m1_x,noisy_m1_y,noisy_m1_z,noisy_m2_x,noisy_m2_y,noisy_m2_z,noisy_center_x,noisy_center_y,noisy_center_z,optimized_v0_x,optimized_v0_y,optimized_v0_z,optimized_v1_x,optimized_v1_y,optimized_v1_z,optimized_v2_x,optimized_v2_y,optimized_v2_z,optimized_v3_x,optimized_v3_y,optimized_v3_z,optimized_v4_x,optimized_v4_y,optimized_v4_z,optimized_v5_x,optimized_v5_y,optimized_v5_z,optimized_v6_x,optimized_v6_y,optimized_v6_z,optimized_v7_x,optimized_v7_y,optimized_v7_z,optimized_m0_x,optimized_m0_y,optimized_m0_z,optimized_m1_x,optimized_m1_y,optimized_m1_z,optimized_m2_x,optimized_m2_y,optimized_m2_z,optimized_center_x,optimized_center_y,optimized_center_z
0,2.0,-1.0,-1.0,4.0,-1.0,-1.0,4.0,1.0,-1.0,2.0,1.0,-1.0,2.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,-1.5,0.0,4.3,-1.0,-0.7,2.2,-0.8,1.4,3.0454545454545454,-0.3,0.06363636363636363,2.0496714153011233,-1.0138264301171185,-0.9352311461899308,4.1523029856408025,-1.0234153374723336,-1.023413695694918,4.157921281550739,1.076743472915291,-1.0469474385934951,2.0542560043585967,0.9536582307187538,-1.0465729753570256,2.0241962271566036,-1.1913280244657798,0.8275082167486967,3.9437712470759028,-1.1012831120334423,1.0314247332595274,3.909197592447879,0.8587696298664709,1.1465648768921555,1.9774223699513465,1.0067528204687923,0.8575251813786543,2.945561727547482,-1.4889077410290135,-0.11509935774223029,4.337569801834567,-1.0600638689918804,-0.7291693749793277,2.1398293387770604,-0.6147721815491063,1.3986502775262064,3.0628818174220096,-0.3270611401535788,0.03320357247711938,2.024107320681483,-0.9615347635533723,-1.0324350341970796,4.039446720304138,-1.0056957220992522,-0.9926448863825779,4.054811489438446,1.0090535868200812,-0.9481642690704204,2.0580393634405896,1.020154299062375,-1.0169329470953923,1.9722746164284097,-0.9987024050054403,0.9487824827826725,3.9768239214617256,-1.0144507220098853,1.0113606888410795,3.997143442366102,0.9700061567365689,1.044670732065714,2.0028448575104,1.0088183608940455,0.9768708437088766,3.004428213155314,-1.4948267449868764,-0.013361106111243463,4.311039579093059,-0.9983525913721504,-0.6815473414512948,2.178758244711302,-0.7964669878994095,1.3784260971238094,3.0563379789628153,-0.29654523031030144,0.061365932746740334
1,1.9524524549099895,-0.9005070030302168,-0.8630169801022141,3.948820238211587,-0.8758319073902208,-0.9809441332545904,3.9262406522052844,1.1237140655224789,-0.9448046188086355,1.9298728689036873,1.099038969882483,-0.826877465656259,2.0707987099891048,-0.9352495110537091,1.1331761773965756,4.067166493290702,-0.9105744154137132,1.0152490242441992,4.044586907284399,1.0889715574989864,1.0513885386901543,2.0482191239828023,1.0642964618589905,1.1693156918425305,3.0154543706019212,-1.40542720245014,0.06708114345950378,4.266027343968694,-0.8773420192477452,-0.6992042326026284,2.291846780734457,-0.7397759058031383,1.5242360450256913,3.0510441767347847,-0.20624426451144953,0.14959992638493882,1.8466813620143996,-0.8182525118198979,-0.9851013450993162,3.9697065977120625,-1.0717989197781983,-1.1137627381444335,3.9459267757921968,1.1975607235220198,-0.9276677906896384,1.9183080406648632,1.068928600323554,-0.9747296646930017,1.9988142891496339,-0.9813133881496878,1.2388884000184672,4.101528322247548,-1.0868784309499866,1.0476574211836787,4.006078679242767,1.0212793574683905,1.112556167574241,2.1513190762323973,1.1574244737706103,1.0853939395202665,2.9845331330167997,-1.3723008593097836,0.1646356561717397,4.2181099201841645,-0.895907916914127,-0.8098377300032312,2.1722261183263902,-0.6585233235637186,1.6598600478827736,3.0284756649621114,-0.221798381400075,0.13617203306559506,1.9191745903741086,-0.8718590888777735,-0.8696455545887845,3.9309802509712126,-0.9200925152069059,-0.9938947492267973,3.9543901442876983,1.09445928494907,-0.944272167460243,1.9586622161646288,1.109695411800287,-0.8505215546635083,2.0284084495905885,-0.915691052544781,1.1091009262294327,4.031374496552285,-0.9355688002752731,1.0085332995531044,4.058747730499895,1.0487192726818217,1.0465213910686866,2.065625519350813,1.0916585365495868,1.1411265106600812,2.9778671167673725,-1.4105421213986093,0.06466263097926576,4.226968048790569,-0.9143423917358066,-0.7058731448315712,2.269568091851181,-0.7153277965957927,1.5211990706505114,3.0383424232000324,-0.2126264782412888,0.13881242348819794
2,1.904502450124238,-0.8024199945394426,-0.7236757812757656,3.889987918030533,-0.7510716749552686,-0.9586455810560788,3.847013366961958,1.2471140085330186,-0.8851121718946506,1.8615278990556627,1.1957656889488446,-0.6501423721143373,2.1411470036076707,-0.8703708913571382,1.2611118725875634,4.126632471513966,-0.8190225717729642,1.0261420728072501,4.083657920445391,1.1791631117153227,1.0996754819686783,2.098172452539096,1.1278147921311488,1.3346452817489916,3.026311098586246,-1.310267704028275,0.13284979347538528,4.223307421238992,-0.7535620615402967,-0.6961729029436263,2.382727005988129,-0.6790076704134311,1.6419257642983405,3.0531806370992616,-0.11235136066168017,0.23478195069106816,1.8973014379662045,-0.7020667047502401,-0.6875121787710021,3.8254759425700207,-0.7149321144044272,-0.8048419244094819,3.843430763050963,1.4035783741144192,-1.147086682303625,1.9437181494931852,1.2044703957726617,-0.6800431071609241,2.150323081261221,-1.0691277828172274,1.2391446838038123,4.1623437286651415,-0.6712331672988125,0.9743150509798854,4.002808560156072,1.128987407356869,1.1912156937388856,2.1310475635050645,1.074838771754445,1.3859720250603271,3.03601885352105,-1.213403204974986,0.06264448408765004,4.190541206579216,-0.7927728768535125,-0.8425243977568382,2.412339033694587,-0.6529021431954422,1.6424371099625865,3.0541225745875207,-0.09132391320875027,0.21215643247557053,1.8857536753088728,-0.7824649501478702,-0.7217254186261944,3.8834536833250812,-0.7407465087345056,-0.9911332719123819,3.827977245295313,1.2708440952642528,-0.8822526677379531,1.8454277135945305,1.1976946233702328,-0.6454029492111593,2.14049982685995,-0.8755355143530508,1.2418766746547112,4.129955633884682,-0.8065244241244443,0.9975714987117194,4.078819545676643,1.175329582702026,1.093651369767898,2.0977954779640795,1.1299360238224672,1.3320064107593417,3.030825056698622,-1.3004233644323884,0.1176026895533751,4.199146823617644,-0.730136592736081,-0.7250063175634991,2.402630296281419,-0.6763078879723933,1.6415318484140935,3.0474804525915316,-0.10348499248561409,0.2235199878918137
3,1.8563260829899828,-0.7058474585082657,-0.5825263195734846,3.823722084331286,-0.6259330537048029,-0.9331923456027532,3.762617678753994,1.3699914464628602,-0.8211582380751304,1.7952216774126912,1.2900770416593974,-0.4704922120458618,2.210754108864486,-0.8053415665517742,1.3833021818323044,4.178150110205789,-0.7254271617483115,1.0326361558030355,4.117045704628497,1.2704973384193514,1.1446702633306582,2.149649703287194,1.1905829336158886,1.4953362893599271,3.032514197992209,-1.2146184351702043,0.1970463912328698,4.171995688413657,-0.6288700091908097,-0.6909179742962752,2.4722688736157874,-0.6176564976633634,1.7526046902632975,3.051842355499598,-0.01841322021636673,0.31884626202078065,1.8328673696524682,-0.8473845327133072,-0.6245908518500205,3.789450632678609,-0.7061607806269647,-0.9493209167693542,3.8030227644354477,1.5586100365839133,-0.8037004567919466,1.8209767164849677,1.2826324500827806,-0.6623693335757659,2.2081027213195643,-0.7993185455576716,1.629626393080833,4.158914013727677,-0.6952724275149502,1.0291649788325112,4.000177900866544,1.3847796198708535,1.2198635665993356,2.2287528979914986,1.0996441881364147,1.635615720453537,2.8923290917129805,-1.1559327257901773,0.41609195381386765,4.0729420559005876,-0.6854997821510869,-0.6809528377875111,2.4219213082041673,-0.7727228407699767,1.7594609877439003,3.02085977027041,-0.030602303677288365,0.3608081094317624,1.8405889100643915,-0.7212864640124547,-0.5485156675125613,3.821693356141644,-0.6514887528692779,-0.9165914681926813,3.7440379221504827,1.3589660538949435,-0.8005290592557887,1.7768800822850317,1.2580016814537824,-0.46579407661273364,2.193732366582275,-0.813931517917163,1.399816312796315,4.16747419113541,-0.7169977041729465,1.0572830977146623,4.093926868017003,1.263803757259475,1.1602777925432362,2.1279855747421723,1.190611337466895,1.4965035480885414,3.032918741215169,-1.2246714466299509,0.23180105895778702,4.150029874228558,-0.6369308806408784,-0.6664285528294537,2.4726112248724865,-0.6117272859868846,1.7864276408937565,3.038352646494057,-0.02778647474131456,0.33947732969009814
4,1.808091599001253,-0.610892452187846,-0.44012564743565463,3.750262373468114,-0.5006318381777409,-0.904684879186471,3.6733647741886664,1.492139508630617,-0.7531952143090872,1.731193999721805,1.381878894620512,-0.28863598255827094,2.2793234336982007,-0.7401401072447915,1.4992648758036515,4.221494208165062,-0.6298794932346865,1.0347056440528353,4.144596608885614,1.3628918535736716,1.1861953089302189,2.202425834418753,1.2526312395635664,1.6507545406810353,3.0340173034030196,-1.1185788094133557,0.25941758208924437,4.112272764842685,-0.503479894334767,-0.6834601854631974,2.5600971181563317,-0.5556864421743343,1.8558360237641696,3.0470127289045,0.07547749632916773,0.4014610969425885,1.7018612276286424,-0.5635332091243279,-0.532068070859035,3.905255813969868,-0.5789571674113646,-0.9368910308070386,3.754716495925633,1.3690530769872216,-0.7304492208486743,1.861908275150048,1.2211305711643892,-0.2701725967050405,2.305311713123043,-0.6619578200670605,1.3755698047158433,4.089448546856635,-0.5776853366729967,1.064404111376154,4.169645893920202,1.3975366745233693,1.1181928367723697,2.2256512041348535,1.2819384868934345,1.5793193988783985,3.2205947545174953,-1.071195517322177,0.1402872323689795,4.177928125706068,-0.6009480613574991,-0.6047517250889523,2.675956676057072,-0.6377546740095054,1.9521736366886018,3.0989344297263233,0.05251154760031667,0.37778312513560053,1.8373727895981007,-0.6303992987724458,-0.43745873882165415,3.79710224315598,-0.5512928770143163,-0.9047156110970185,3.721571261161286,1.4574599967889035,-0.7610620626403986,1.7741380018227555,1.3476154093874186,-0.32817738158515736,2.2891344831003426,-0.7450005078399653,1.489214260821244,4.242755147627934,-0.6390781130789758,1.0481601790009032,4.170720702661742,1.3401871912777814,1.1782041685640492,2.224524671597827,1.2580981393147455,1.6128447716248895,3.0687399566364673,-1.1398939406823645,0.2753464031289708,4.137684987232407,-0.5388423436605685,-0.671377522408386,2.586888505532877,-0.5466423573741681,1.8635468325994258,3.0773302500116113,0.05565557257691316,0.39677502719880614
5,1.7599587494082451,-0.5176524738019678,-0.2970357552585249,3.6698680891373776,-0.37538528922174164,-0.8732356877533541,3.579576285482652,1.6133533782443998,-0.6814913196019735,1.6696669457535196,1.4710861936641737,-0.10529138710714414,2.3465537580881746,-0.6747465880030146,1.6085423027268155,4.256463097817307,-0.5324794034227884,1.0323423702319863,4.166171294162582,1.4562592640433532,1.2240867383833671,2.256261954433449,1.313992079463127,1.8002866708781964,3.0307838745264575,-1.0222506054789136,0.31971721544888554,4.044343741398737,-0.37760932866486474,-0.6738289689297775,2.6458345134316015,-0.49306482563858733,1.9512123578895388,3.038680209421827,0.1692274910166523,0.48230041244618316,1.801236842101895,-0.4354464578025188,-0.10735645699313012,3.6453292775370905,-0.4507589056574906,-0.9621871307159064,3.4979952569861084,1.6056432073029894,-0.6473761221203091,1.6973360256865215,1.553804518567776,-0.10399119791935343,2.491907165803906,-0.7012122713268102,1.8805592193857774,4.319029832593808,-0.6181951590644167,0.925253120425875,4.2144185356869,1.433912985510768,1.2954867877925764,2.3035857168908036,1.3067091881974398,1.7156072990713558,2.879299152057871,-1.0669021006856156,0.4053570948812328,4.0657531158117575,-0.5021832065360635,-0.6565108763446593,2.684366251404485,-0.5814505692587006,1.9665848684840916,3.0545688338691948,0.14035647538612336,0.5192206005406864,1.7425931001577903,-0.521088739977763,-0.22128589137526544,3.648784104719396,-0.4279607850320908,-0.8715853454195138,3.5883302683695746,1.576836103985401,-0.6752077838338565,1.691081312090081,1.4537876506694156,-0.060995478450363794,2.376223624229763,-0.6791028680682735,1.6503002826164064,4.2788495751062525,-0.5597776315377992,1.027277059413779,4.220561746732759,1.4158576997860872,1.2090987088447278,2.324726052607363,1.320519240173254,1.82557876254391,3.036146081373079,-1.0447176308834254,0.35877835505283795,4.01009960377309,-0.4202904969887108,-0.6716089423085528,2.7084644832916025,-0.4888819677375019,1.9989552821105119,3.056896359313704,0.14774368858078119,0.5063004553813291
6,1.71207819095874,-0.42621935137423195,-0.15382135347496506,3.5828172092309196,-0.25041155017203476,-0.8389688868942209,3.481583051333234,1.7334308271119878,-0.606329536467805,1.6108440330610543,1.5576230259097905,0.07881799695145086,2.412140453038898,-0.6091429395976402,1.7107031945218387,4.282879471311078,-0.4333351383954429,1.025555661102583,4.181645313413393,1.5505072388885797,1.2581950115289988,2.3109062951412125,1.3746994376863824,1.9433425449482546,3.02278737060933,-0.9257378392058431,0.3777073162072049,3.9684374012837704,-0.2514789182252164,-0.6620623347075887,2.7291033914923792,-0.42976263939369985,2.0383572858219154,3.026838380079455,0.26274292302114827,0.5610451726852425,1.71789906280334,-0.5405163811572943,-0.11804261744013672,3.638895661867743,-0.14210642585450706,-0.7335886816907305,3.343816114537525,1.6396483231204755,-0.554826009746939,1.6622226281522752,1.6091277945403952,0.46409114601692303,2.4692295041082146,-0.4955863755795803,1.806103370871159,4.348018596441658,-0.46486206285947745,1.1014525831519095,4.104362791959636,1.5268253782145789,1.2096586567460885,2.3190937090798447,1.6061652943537332,1.75661602568908,3.0914133896467813,-1.0870094263248082,0.33051412962826154,4.077332460980507,-0.2450509163156701,-0.7698368125005193,2.6575730205663826,-0.36180286450023225,1.9653206226502018,3.039077903649446,0.27680293978523757,0.5870420375795725,1.715797113446378,-0.4299699886144802,-0.10289299823807985,3.586895675823329,-0.2672214871733942,-0.8361251831179991,3.4796306727409476,1.7300917848013477,-0.5898259911882687,1.6166439864709685,1.5385089333673951,0.10625439057006575,2.4385670112229962,-0.6114324443354284,1.733942858451464,4.306623560574693,-0.4232176452899996,1.0287323398713526,4.201668254373792,1.5453419327650342,1.2597066173604086,2.3394241484124914,1.3814406715946013,1.9586438992458102,3.048632243090942,-0.9288162042219751,0.40567757793173487,3.9566293523749256,-0.2535811087512664,-0.6525244383579999,2.7809827809387255,-0.41953139457229305,2.0716612556033285,3.0428631635881995,0.26014664086995826,0.5802954843756196
7,1.6645909301107025,-0.336679152849113,-0.011047643900377935,3.489405327570278,-0.12592905846365132,-0.8020197120170496,3.3797238500350613,1.8521727412187956,-0.5280064941264593,1.5549094525754856,1.641422646833334,0.26296557399021236,2.4757767215974233,-0.5433132928395401,1.8053443688216775,4.300591119056999,-0.33256319845407856,1.0143723007050058,4.190909641521782,1.6455386012283686,1.2883855185955961,2.3660952440622065,1.434788506842907,2.079357586712268,3.010011393967655,-0.8291466255722075,0.4331590239296663,3.884805355912223,-0.1253116653043962,-0.648206720326242,2.8095271718872032,-0.3657549314308348,2.1169268863434803,3.011486018936093,0.35592950647359856,0.6373846080661615,1.6862367890689,-0.33212196885873163,-0.07620767866095965,3.703799736502811,-0.0625371562318502,-1.0045339706828103,3.398369281512004,1.7859940947419568,-0.44276316064683685,1.4756573787322156,1.629949002686644,0.3134643018882581,2.5623522410144357,-0.6633429335451178,1.7718942452375825,4.253096587940903,-0.3978961217114497,1.1909177247331155,4.231407812617878,1.519450205794864,1.3801717133010738,2.5783108637634697,1.5380350328980217,1.9274205901168666,2.96158798668103,-0.7024555106535453,0.3623920773677882,3.9291872987268457,-0.04784825996146251,-0.7408997674840503,2.803574636281023,-0.6898816654377421,2.0144881222100515,3.0530527829855916,0.32521315633832626,0.6087585633981891,1.6878497355313253,-0.32830086379004614,-0.034167627390098376,3.529800628493129,-0.11989155910119481,-0.8272053386185843,3.4303851718695473,1.8604204358713003,-0.4667745563727681,1.5951595048242746,1.6252997848034294,0.2872919595999567,2.479604825842574,-0.6090506653791539,1.7612694609710096,4.31955454480472,-0.37677326133228745,0.9977157975446077,4.221890434361303,1.575683702555964,1.3411762337073405,2.387493526614212,1.368046177838839,2.099598741803896,3.0393199163077056,-0.8507141287155915,0.3954296161861923,3.9061931419019205,-0.11537490409259837,-0.6571860436734756,2.8343823290861905,-0.4351522360953664,2.0959641688913626,3.0392394326942638,0.32674477114211764,0.6357374920590398
8,1.6176278138712228,-0.2491121175926494,0.13072191086064833,3.3899445346599273,-0.002155954730209575,-0.7625339846346082,3.274344109804004,1.9693836353683782,-0.4468312978436637,1.5020273890152993,1.7224274725059385,0.4464245976515928,2.5371548569677826,-0.4772443123792496,1.8920923201488098,4.309471577756487,-0.23028814951680976,0.9988364246535533,4.193871152900564,1.741251440581778,1.3145391114444978,2.421554432111859,1.4942952777193383,2.2077950069397545,2.992449802027836,-0.7325850310793767,0.48585349605936456,3.793721099242717,0.0006676404811664094,-0.6323168075656727,2.8867318951803727,-0.3010211760404671,2.186611081136011,2.992627151230734,0.4486926113925307,0.7110174417136625,1.5923709987319068,-0.37389043578913433,0.2939630412538119,3.246930396863864,-0.04616040339990796,-0.749459926905999,3.418471438710615,1.8257974202504343,-0.33051492262816773,1.503050695117258,1.6242766074011434,0.4926349450779199,2.5570608265251296,-0.537266000095129,1.8990725286478116,4.2709402180703115,-0.21893641499168495,1.065049492105658,4.352472834515099,1.6174698906990932,1.5278424489101243,2.226345652159609,1.47911676821578,2.2666267275882124,3.0205489888013393,-0.7948549830614361,0.465041271023637,3.7444210057768337,-0.058268835213254745,-0.5473565978635702,2.9224334437768773,-0.37031213556653253,2.276571068679336,2.9868224090044397,0.37699740713176105,0.7872245523535248,1.6150686814462045,-0.2800047926795517,0.18783219979115484,3.399869878512904,-0.054704039321254394,-0.7225801239828882,3.297525016158068,1.9270529361008106,-0.37102045798931926,1.5173049066074757,1.6748122865989403,0.500267265063256,2.523188762232478,-0.5360808382701681,1.9311147041879944,4.307556202101608,-0.28670033520259053,1.050078858211137,4.206245262615736,1.6670889947535446,1.3847949964590212,2.426767433781021,1.4423742838465625,2.2601760637650807,2.997920277867363,-0.7817233929930725,0.5341571468584323,3.7862337015421152,-0.04403122063497533,-0.5769526122557831,2.896238750625952,-0.3549806188265021,2.241219049049717,2.9976289884991756,0.39755484212470393,0.7653715535598002
9,1.5713090692245189,-0.16359260927548414,0.2709278111438209,3.284762241829998,0.12069050854634877,-0.7206675368735627,3.1657946013511578,2.0848721551220337,-0.36312430903372706,1.4523414287456786,1.8005890373002007,0.6284710389836565,2.595967512710501,-0.4109255188866582,1.9706046939707171,4.30942068531598,-0.12664240106482505,0.9790093459533336,4.19045304483714,1.8375392455108597,1.3365525737931692,2.476999872231661,1.5532561276890269,2.3281479218105527,2.9701067873899594,-0.6361629168140758,0.5355827715886182,3.6954789842437172,0.12623303977794764,-0.6144553066521357,2.9603477546203614,-0.23554562436914106,2.2471348585183417,2.970271089318243,0.5409373675942029,0.7816530784729804,1.6020390213121798,-0.08230639739158813,0.33389069533618215,3.201862740737791,0.06467240452665182,-0.6459381763612365,3.226831627894504,2.082781995725619,-0.3513915707028489,1.580107918324521,1.7414318984166177,0.6831807771006603,2.5757482474671116,-0.4326936392093802,2.0804823791694362,4.391962320214783,-0.04529143746476119,1.1095572266687665,4.192553429000416,1.905734542640356,1.3055258981338236,2.509416507480505,1.5402418222522585,2.3378475183098244,3.029622489933651,-0.717984985137423,0.7448214991571642,3.594877246093747,0.004814178499174426,-0.4986442193021289,3.039514024016655,-0.17313364266392556,2.30996940944477,2.9949577793159876,0.5352969763812362,0.8553910397231285,1.5746802480031241,-0.181056841926434,0.37159616173968485,3.282008786719336,0.05914688372304988,-0.6736108861046476,3.1745935433560275,2.0436032219114395,-0.3392093511872972,1.469319340246979,1.7760172380522787,0.6669660378500779,2.615488386225181,-0.4003158063770278,2.0442990158974395,4.324209538915385,-0.13565552387428437,1.0281253521538158,4.2170062716947925,1.820631844244363,1.3459912646864036,2.512338035682724,1.5806315651834995,2.355860626927098,2.987567508493841,-0.6571937990929196,0.6185460508863182,3.678019874151036,0.07758248369283227,-0.5577073388716044,3.0078714835722553,-0.20951481282008222,2.3231516181787026,2.9857366379146075,0.5248978593378832,0.8349098683778174
