frame,noisy_v0_x,noisy_v0_y,noisy_v0_z,noisy_v1_x,noisy_v1_y,noisy_v1_z,noisy_v2_x,noisy_v2_y,noisy_v2_z,noisy_v3_x,noisy_v3_y,noisy_v3_z,noisy_v4_x,noisy_v4_y,noisy_v4_z,noisy_v5_x,noisy_v5_y,noisy_v5_z,noisy_v6_x,noisy_v6_y,noisy_v6_z,noisy_v7_x,noisy_v7_y,noisy_v7_z,noisy_m0_x,noisy_m0_y,noisy_m0_z,noisy_m1_x,noisy_m1_y,noisy_m1_z,noisy_m2_x,noisy_m2_y,noisy_m2_z,optimized_v0_x,optimized_v0_y,optimized_v0_z,optimized_v1_x,optimized_v1_y,optimized_v1_z,optimized_v2_x,optimized_v2_y,optimized_v2_z,optimized_v3_x,optimized_v3_y,optimized_v3_z,optimized_v4_x,optimized_v4_y,optimized_v4_z,optimized_v5_x,optimized_v5_y,optimized_v5_z,optimized_v6_x,optimized_v6_y,optimized_v6_z,optimized_v7_x,optimized_v7_y,optimized_v7_z,optimized_m0_x,optimized_m0_y,optimized_m0_z,optimized_m1_x,optimized_m1_y,optimized_m1_z,optimized_m2_x,optimized_m2_y,optimized_m2_z,gt_v0_x,gt_v0_y,gt_v0_z,gt_v1_x,gt_v1_y,gt_v1_z,gt_v2_x,gt_v2_y,gt_v2_z,gt_v3_x,gt_v3_y,gt_v3_z,gt_v4_x,gt_v4_y,gt_v4_z,gt_v5_x,gt_v5_y,gt_v5_z,gt_v6_x,gt_v6_y,gt_v6_z,gt_v7_x,gt_v7_y,gt_v7_z,gt_m0_x,gt_m0_y,gt_m0_z,gt_m1_x,gt_m1_y,gt_m1_z,gt_m2_x,gt_m2_y,gt_m2_z,noisy_center_x,optimized_center_x,noisy_center_y,optimized_center_y,noisy_center_z,optimized_center_z,gt_center_x,gt_center_y,gt_center_z
0,2.0496714153011233,-1.0138264301171185,-0.9352311461899308,4.1523029856408025,-1.0234153374723336,-1.023413695694918,4.157921281550739,1.076743472915291,-1.0469474385934951,2.0542560043585967,0.9536582307187538,-1.0465729753570256,2.0241962271566036,-1.1913280244657798,0.8275082167486967,3.9437712470759028,-1.1012831120334423,1.0314247332595274,3.909197592447879,0.8587696298664709,1.1465648768921555,1.9774223699513465,1.0067528204687923,0.8575251813786543,2.945561727547482,-1.4889077410290135,-0.11509935774223029,4.337569801834567,-1.0600638689918804,-0.7291693749793277,2.1398293387770604,-0.6147721815491063,1.3986502775262064,2.041984322133753,-0.9631103070806991,-1.0564877871707772,4.055289854824215,-1.0049304196516737,-0.9882448534536621,4.07473243965063,1.0095660134299074,-0.9311788507751357,2.078061616630633,1.0208996390376348,-1.036047609743943,1.9466190956362703,-1.005754525260408,0.9230016673557943,3.9601733405999,-1.0145958427021837,1.0298382852081243,3.980949301998957,0.9733379517586308,1.0652472261526935,1.9843472226731884,1.0115079482896379,0.9532604677653783,3.0096422962164735,-1.5046489604577968,-0.014016859616673719,4.3347270745985025,-0.9956418781373888,-0.6443736629394463,2.1531912036284457,-0.7886271526389763,1.37402723743179,2.0,-1.0,-1.0,4.0,-1.0,-1.0,4.0,1.0,-1.0,2.0,1.0,-1.0,2.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,-1.5,0.0,4.3,-1.0,-0.7,2.2,-0.8,1.4,3.0628818174220096,3.056337978962816,-0.3270611401535788,-0.2965452303103014,0.03320357247711938,0.06136593274674014,3.0454545454545454,-0.3,0.06363636363636363
1,1.8466813620143996,-0.8182525118198979,-0.9851013450993162,3.9697065977120625,-1.0717989197781983,-1.1137627381444335,3.9459267757921968,1.1975607235220198,-0.9276677906896384,1.9183080406648632,1.068928600323554,-0.9747296646930017,1.9988142891496339,-0.9813133881496878,1.2388884000184672,4.101528322247548,-1.0868784309499866,1.0476574211836787,4.006078679242767,1.0212793574683905,1.112556167574241,2.1513190762323973,1.1574244737706103,1.0853939395202665,2.9845331330167997,-1.3723008593097836,0.1646356561717397,4.2181099201841645,-0.895907916914127,-0.8098377300032312,2.1722261183263902,-0.6585233235637186,1.6598600478827736,1.907232431883332,-0.8668805285507646,-0.868838858961753,3.9163309545830756,-0.9324371680498696,-1.0067904478728114,3.9651736190490787,1.0816742741942253,-0.9538762341479082,1.968517866732072,1.1165608416550985,-0.8540312676917532,2.0142978023026137,-0.9089540162779814,1.110064469763132,4.027977812202755,-0.9415479175098593,1.0104482835766582,4.075620016104189,1.045993102151946,1.041707208692037,2.078620039344333,1.1077153655081546,1.1344396241926475,2.9699923923541727,-1.4200749865832114,0.06971793778795557,4.229557681734191,-0.92653808418425,-0.693305120190545,2.2684460389105405,-0.6944021430076647,1.5374010632225181,1.9524524549099895,-0.9005070030302168,-0.8630169801022141,3.948820238211587,-0.8758319073902208,-0.9809441332545904,3.9262406522052844,1.1237140655224789,-0.9448046188086355,1.9298728689036873,1.099038969882483,-0.826877465656259,2.0707987099891048,-0.9352495110537091,1.1331761773965756,4.067166493290702,-0.9105744154137132,1.0152490242441992,4.044586907284399,1.0889715574989864,1.0513885386901543,2.0482191239828023,1.0642964618589905,1.1693156918425305,3.0154543706019212,-1.40542720245014,0.06708114345950378,4.266027343968694,-0.8773420192477452,-0.6992042326026284,2.291846780734457,-0.7397759058031383,1.5242360450256913,3.0284756649621114,3.038342423200032,-0.221798381400075,-0.2126264782412888,0.13617203306559506,0.13881242348819792,3.0510441767347847,-0.20624426451144953,0.14959992638493882
2,1.8973014379662045,-0.7020667047502401,-0.6875121787710021,3.8254759425700207,-0.7149321144044272,-0.8048419244094819,3.843430763050963,1.4035783741144192,-1.147086682303625,1.9437181494931852,1.2044703957726617,-0.6800431071609241,2.150323081261221,-1.0691277828172274,1.2391446838038123,4.1623437286651415,-0.6712331672988125,0.9743150509798854,4.002808560156072,1.128987407356869,1.1912156937388856,2.1310475635050645,1.074838771754445,1.3859720250603271,3.03601885352105,-1.213403204974986,0.06264448408765004,4.190541206579216,-0.7927728768535125,-0.8425243977568382,2.412339033694587,-0.6529021431954422,1.6424371099625865,1.8801162323694358,-0.7851079954883051,-0.7227728531192051,3.873193712695115,-0.7284550838408845,-1.0130103296798758,3.8145433416550616,1.2817857301730933,-0.8813956446552326,1.8326170157834247,1.196657304779655,-0.6313127120440434,2.1412433541504043,-0.8934083157672714,1.2392096195978275,4.140008243435022,-0.8050096745265058,0.9881766998260966,4.079965943646644,1.179447842242335,1.097215643355524,2.09566631974839,1.1213322498028648,1.3413373883310946,3.0408728577396262,-1.3095178315309912,0.11029982271631902,4.20879920396976,-0.7158245586412435,-0.7238248242965734,2.4152587533139482,-0.6802345845445006,1.6547970567780188,1.904502450124238,-0.8024199945394426,-0.7236757812757656,3.889987918030533,-0.7510716749552686,-0.9586455810560788,3.847013366961958,1.2471140085330186,-0.8851121718946506,1.8615278990556627,1.1957656889488446,-0.6501423721143373,2.1411470036076707,-0.8703708913571382,1.2611118725875634,4.126632471513966,-0.8190225717729642,1.0261420728072501,4.083657920445391,1.1791631117153227,1.0996754819686783,2.098172452539096,1.1278147921311488,1.3346452817489916,3.026311098586246,-1.310267704028275,0.13284979347538528,4.223307421238992,-0.7535620615402967,-0.6961729029436263,2.382727005988129,-0.6790076704134311,1.6419257642983405,3.0541225745875207,3.04748045259153,-0.09132391320875027,-0.10348499248561403,0.21215643247557053,0.22351998789181368,3.0531806370992616,-0.11235136066168017,0.23478195069106816
3,1.8328673696524682,-0.8473845327133072,-0.6245908518500205,3.789450632678609,-0.7061607806269647,-0.9493209167693542,3.8030227644354477,1.5586100365839133,-0.8037004567919466,1.8209767164849677,1.2826324500827806,-0.6623693335757659,2.2081027213195643,-0.7993185455576716,1.629626393080833,4.158914013727677,-0.6952724275149502,1.0291649788325112,4.000177900866544,1.3847796198708535,1.2198635665993356,2.2287528979914986,1.0996441881364147,1.635615720453537,2.8923290917129805,-1.1559327257901773,0.41609195381386765,4.0729420559005876,-0.6854997821510869,-0.6809528377875111,2.4219213082041673,-0.7727228407699767,1.7594609877439003,1.8384447917056053,-0.7277804895285638,-0.5510555451128786,3.8161263930553346,-0.6507509558163705,-0.9287420849824441,3.740553057131865,1.359448137422949,-0.8053779974120929,1.7725744547984204,1.25383543901151,-0.46814445538464233,2.1864748798852895,-0.8217797000542111,1.398131660491851,4.171196182122559,-0.7127161227695324,1.0591929967564337,4.093535181142219,1.271555086083584,1.1602016274449334,2.122618896375885,1.192892189680074,1.491440201632093,3.0404399845069863,-1.2344561223250416,0.23307394822067112,4.163913090340625,-0.6327250367151759,-0.6546284007267004,2.476002200369835,-0.6031736471436813,1.8001586756638561,1.8563260829899828,-0.7058474585082657,-0.5825263195734846,3.823722084331286,-0.6259330537048029,-0.9331923456027532,3.762617678753994,1.3699914464628602,-0.8211582380751304,1.7952216774126912,1.2900770416593974,-0.4704922120458618,2.210754108864486,-0.8053415665517742,1.3833021818323044,4.178150110205789,-0.7254271617483115,1.0326361558030355,4.117045704628497,1.2704973384193514,1.1446702633306582,2.149649703287194,1.1905829336158886,1.4953362893599271,3.032514197992209,-1.2146184351702043,0.1970463912328698,4.171995688413657,-0.6288700091908097,-0.6909179742962752,2.4722688736157874,-0.6176564976633634,1.7526046902632975,3.02085977027041,3.0383526464940562,-0.030602303677288365,-0.0277864747413145,0.3608081094317624,0.33947732969009814,3.051842355499598,-0.01841322021636673,0.31884626202078065
4,1.7018612276286424,-0.5635332091243279,-0.532068070859035,3.905255813969868,-0.5789571674113646,-0.9368910308070386,3.754716495925633,1.3690530769872216,-0.7304492208486743,1.861908275150048,1.2211305711643892,-0.2701725967050405,2.305311713123043,-0.6619578200670605,1.3755698047158433,4.089448546856635,-0.5776853366729967,1.064404111376154,4.169645893920202,1.3975366745233693,1.1181928367723697,2.2256512041348535,1.2819384868934345,1.5793193988783985,3.2205947545174953,-1.071195517322177,0.1402872323689795,4.177928125706068,-0.6009480613574991,-0.6047517250889523,2.675956676057072,-0.6377546740095054,1.9521736366886018,1.8410098536651816,-0.6333244891112021,-0.45153955713880756,3.801451852489703,-0.5526388843789459,-0.9097558709183352,3.7328217003756823,1.455997804027136,-0.7597592780413468,1.780376550360087,1.3472035852227158,-0.34269568899078096,2.2692501208193048,-0.7504117111281189,1.480348745113449,4.238356199524745,-0.6381534314083765,1.0609297914895919,4.1666929281327,1.3448212894863785,1.1883732560376057,2.211088576815448,1.2630467743727676,1.5998855834887085,3.073949210634843,-1.1496779810532385,0.27620443362811875,4.160290459714895,-0.5379808716117103,-0.650065999936216,2.57534529759513,-0.5366707860713602,1.8725998844548801,1.808091599001253,-0.610892452187846,-0.44012564743565463,3.750262373468114,-0.5006318381777409,-0.904684879186471,3.6733647741886664,1.492139508630617,-0.7531952143090872,1.731193999721805,1.381878894620512,-0.28863598255827094,2.2793234336982007,-0.7401401072447915,1.4992648758036515,4.221494208165062,-0.6298794932346865,1.0347056440528353,4.144596608885614,1.3628918535736716,1.1861953089302189,2.202425834418753,1.2526312395635664,1.6507545406810353,3.0340173034030196,-1.1185788094133557,0.25941758208924437,4.112272764842685,-0.503479894334767,-0.6834601854631974,2.5600971181563317,-0.5556864421743343,1.8558360237641696,3.0989344297263233,3.0773302500116113,0.05251154760031667,0.055655572576913205,0.37778312513560053,0.39677502719880614,3.0470127289045,0.07547749632916773,0.4014610969425885
5,1.801236842101895,-0.4354464578025188,-0.10735645699313012,3.6453292775370905,-0.4507589056574906,-0.9621871307159064,3.4979952569861084,1.6056432073029894,-0.6473761221203091,1.6973360256865215,1.553804518567776,-0.10399119791935343,2.491907165803906,-0.7012122713268102,1.8805592193857774,4.319029832593808,-0.6181951590644167,0.925253120425875,4.2144185356869,1.433912985510768,1.2954867877925764,2.3035857168908036,1.3067091881974398,1.7156072990713558,2.879299152057871,-1.0669021006856156,0.4053570948812328,4.0657531158117575,-0.5021832065360635,-0.6565108763446593,2.684366251404485,-0.5814505692587006,1.9665848684840916,1.7247186900433538,-0.5132567281645593,-0.2086823334924678,3.618929370604787,-0.43050160553205596,-0.8905347186205592,3.5840357718489413,1.5739574130095955,-0.6837572986304687,1.6927477366048675,1.4641158297248253,-0.04439458662692042,2.374373734560733,-0.6817831609973862,1.6564821956900773,4.2819610831845285,-0.5685002016602254,1.01292146995121,4.2412237804669,1.4108968700059876,1.1970244565558756,2.3463630973091654,1.3282232210743614,1.831914923528404,3.0300126096441136,-1.0540832417890458,0.35707924908179833,4.005705362741928,-0.42424609611989117,-0.674238549045981,2.7257887154414338,-0.47964172516301207,2.0154902008036517,1.7599587494082451,-0.5176524738019678,-0.2970357552585249,3.6698680891373776,-0.37538528922174164,-0.8732356877533541,3.579576285482652,1.6133533782443998,-0.6814913196019735,1.6696669457535196,1.4710861936641737,-0.10529138710714414,2.3465537580881746,-0.6747465880030146,1.6085423027268155,4.256463097817307,-0.5324794034227884,1.0323423702319863,4.166171294162582,1.4562592640433532,1.2240867383833671,2.256261954433449,1.313992079463127,1.8002866708781964,3.0307838745264575,-1.0222506054789136,0.31971721544888554,4.044343741398737,-0.37760932866486474,-0.6738289689297775,2.6458345134316015,-0.49306482563858733,1.9512123578895388,3.0545688338691948,3.0568963593137046,0.14035647538612336,0.14774368858078124,0.5192206005406864,0.5063004553813291,3.038680209421827,0.1692274910166523,0.48230041244618316
6,1.71789906280334,-0.5405163811572943,-0.11804261744013672,3.638895661867743,-0.14210642585450706,-0.7335886816907305,3.343816114537525,1.6396483231204755,-0.554826009746939,1.6622226281522752,1.6091277945403952,0.46409114601692303,2.4692295041082146,-0.4955863755795803,1.806103370871159,4.348018596441658,-0.46486206285947745,1.1014525831519095,4.104362791959636,1.5268253782145789,1.2096586567460885,2.3190937090798447,1.6061652943537332,1.75661602568908,3.0914133896467813,-1.0870094263248082,0.33051412962826154,4.077332460980507,-0.2450509163156701,-0.7698368125005193,2.6575730205663826,-0.36180286450023225,1.9653206226502018,1.7132453694786305,-0.44409062994078297,-0.09718932712504658,3.5760052994240636,-0.27224629597418903,-0.8457881222436712,3.467032369445796,1.725541190198181,-0.6033000147210852,1.606725208244107,1.5274276686189396,0.10226967122468239,2.4377297225372248,-0.6149514923612258,1.7399880035148654,4.314015919892363,-0.41265898699104864,1.0296917434198705,4.19939250910101,1.5602065875281088,1.2493029986095687,2.3342444587156828,1.389156901103981,1.951002792520953,3.0595351561154147,-0.9392615720093568,0.41141784076710247,3.9699341957806116,-0.25339272706803007,-0.643591683058597,2.7936345907352864,-0.40411759353503596,2.0894464252231737,1.71207819095874,-0.42621935137423195,-0.15382135347496506,3.5828172092309196,-0.25041155017203476,-0.8389688868942209,3.481583051333234,1.7334308271119878,-0.606329536467805,1.6108440330610543,1.5576230259097905,0.07881799695145086,2.412140453038898,-0.6091429395976402,1.7107031945218387,4.282879471311078,-0.4333351383954429,1.025555661102583,4.181645313413393,1.5505072388885797,1.2581950115289988,2.3109062951412125,1.3746994376863824,1.9433425449482546,3.02278737060933,-0.9257378392058431,0.3777073162072049,3.9684374012837704,-0.2514789182252164,-0.6620623347075887,2.7291033914923792,-0.42976263939369985,2.0383572858219154,3.039077903649446,3.0428631635881995,0.27680293978523757,0.26014664086995826,0.5870420375795725,0.5802954843756196,3.026838380079455,0.26274292302114827,0.5610451726852425
7,1.6862367890689,-0.33212196885873163,-0.07620767866095965,3.703799736502811,-0.0625371562318502,-1.0045339706828103,3.398369281512004,1.7859940947419568,-0.44276316064683685,1.4756573787322156,1.629949002686644,0.3134643018882581,2.5623522410144357,-0.6633429335451178,1.7718942452375825,4.253096587940903,-0.3978961217114497,1.1909177247331155,4.231407812617878,1.519450205794864,1.3801717133010738,2.5783108637634697,1.5380350328980217,1.9274205901168666,2.96158798668103,-0.7024555106535453,0.3623920773677882,3.9291872987268457,-0.04784825996146251,-0.7408997674840503,2.803574636281023,-0.6898816654377421,2.0144881222100515,1.6846938182517568,-0.31544848664425623,-0.053909722010694106,3.5266259244241493,-0.09928228648108556,-0.8415412843151415,3.4419295164412578,1.8749941795683993,-0.4454486490102103,1.6009874949787322,1.6358856868126512,0.2972355944485901,2.460083665597854,-0.6299429618990617,1.7430753547269455,4.316898071854149,-0.3864118162791684,0.9955288537977849,4.2256819447050376,1.5647881747976968,1.3670990595460428,2.3800241466378793,1.3529898286210515,2.108116332521502,3.0406901241939046,-0.856465602349433,0.37614399729442977,3.9263418627312148,-0.0983711454432914,-0.6501119998531704,2.827677189820966,-0.4485430881402082,2.096924875503361,1.6645909301107025,-0.336679152849113,-0.011047643900377935,3.489405327570278,-0.12592905846365132,-0.8020197120170496,3.3797238500350613,1.8521727412187956,-0.5280064941264593,1.5549094525754856,1.641422646833334,0.26296557399021236,2.4757767215974233,-0.5433132928395401,1.8053443688216775,4.300591119056999,-0.33256319845407856,1.0143723007050058,4.190909641521782,1.6455386012283686,1.2883855185955961,2.3660952440622065,1.434788506842907,2.079357586712268,3.010011393967655,-0.8291466255722075,0.4331590239296663,3.884805355912223,-0.1253116653043962,-0.648206720326242,2.8095271718872032,-0.3657549314308348,2.1169268863434803,3.0530527829855916,3.0392394326942633,0.32521315633832626,0.32674477114211764,0.6087585633981891,0.63573749205904,3.011486018936093,0.35592950647359856,0.6373846080661615
8,1.5923709987319068,-0.37389043578913433,0.2939630412538119,3.246930396863864,-0.04616040339990796,-0.749459926905999,3.418471438710615,1.8257974202504343,-0.33051492262816773,1.503050695117258,1.6242766074011434,0.4926349450779199,2.5570608265251296,-0.537266000095129,1.8990725286478116,4.2709402180703115,-0.21893641499168495,1.065049492105658,4.352472834515099,1.6174698906990932,1.5278424489101243,2.226345652159609,1.47911676821578,2.2666267275882124,3.0205489888013393,-0.7948549830614361,0.465041271023637,3.7444210057768337,-0.058268835213254745,-0.5473565978635702,2.9224334437768773,-0.37031213556653253,2.276571068679336,1.6105565158269037,-0.2786762348668679,0.18093954905328757,3.391865726161607,-0.05116896645648844,-0.7328345629552545,3.3018274961085785,1.9292856791653654,-0.37017365324952556,1.5188691847869258,1.6779424397740166,0.49914016769072006,2.509527813831823,-0.5449005519005871,1.9274408444247686,4.307923418170721,-0.28899852791825864,1.0521235684410468,4.210113846379701,1.667790194306856,1.391206727959335,2.4218958215474578,1.443644138729103,2.258647035583591,3.0009112198765555,-0.7905457291148457,0.5291853250336925,3.8034341426729203,-0.0403995441039145,-0.5687788086006075,2.896993688127733,-0.3508696342426355,2.2521908957767476,1.6176278138712228,-0.2491121175926494,0.13072191086064833,3.3899445346599273,-0.002155954730209575,-0.7625339846346082,3.274344109804004,1.9693836353683782,-0.4468312978436637,1.5020273890152993,1.7224274725059385,0.4464245976515928,2.5371548569677826,-0.4772443123792496,1.8920923201488098,4.309471577756487,-0.23028814951680976,0.9988364246535533,4.193871152900564,1.741251440581778,1.3145391114444978,2.421554432111859,1.4942952777193383,2.2077950069397545,2.992449802027836,-0.7325850310793767,0.48585349605936456,3.793721099242717,0.0006676404811664094,-0.6323168075656727,2.8867318951803727,-0.3010211760404671,2.186611081136011,2.9868224090044397,2.9976289884991756,0.37699740713176105,0.3975548421247039,0.7872245523535248,0.7653715535598002,2.992627151230734,0.4486926113925307,0.7110174417136625
9,1.6020390213121798,-0.08230639739158813,0.33389069533618215,3.201862740737791,0.06467240452665182,-0.6459381763612365,3.226831627894504,2.082781995725619,-0.3513915707028489,1.580107918324521,1.7414318984166177,0.6831807771006603,2.5757482474671116,-0.4326936392093802,2.0804823791694362,4.391962320214783,-0.04529143746476119,1.1095572266687665,4.192553429000416,1.905734542640356,1.3055258981338236,2.509416507480505,1.5402418222522585,2.3378475183098244,3.029622489933651,-0.717984985137423,0.7448214991571642,3.594877246093747,0.004814178499174426,-0.4986442193021289,3.039514024016655,-0.17313364266392556,2.30996940944477,1.5684257473483532,-0.18635780530945845,0.37865938803263444,3.268458497940688,0.043282402441853995,-0.6782035215621669,3.174430933789917,2.0309505936179453,-0.3585718575620389,1.4696568936844978,1.7763087969483466,0.6547017040924393,2.6060677882324477,-0.3941276378481886,2.054792511632219,4.325682402956058,-0.13486007456768856,1.0342050157854175,4.222448321111621,1.8284285939713927,1.3315373772296795,2.5118344732534603,1.6008469032704542,2.342687555705094,2.990113320297861,-0.668750792906161,0.6286056885480362,3.6914055961871375,0.06428565650796553,-0.5474616083596544,3.014579042258642,-0.1861301834097473,2.3430562986143313,1.5713090692245189,-0.16359260927548414,0.2709278111438209,3.284762241829998,0.12069050854634877,-0.7206675368735627,3.1657946013511578,2.0848721551220337,-0.36312430903372706,1.4523414287456786,1.8005890373002007,0.6284710389836565,2.595967512710501,-0.4109255188866582,1.9706046939707171,4.30942068531598,-0.12664240106482505,0.9790093459533336,4.19045304483714,1.8375392455108597,1.3365525737931692,2.476999872231661,1.5532561276890269,2.3281479218105527,2.9701067873899594,-0.6361629168140758,0.5355827715886182,3.6954789842437172,0.12623303977794764,-0.6144553066521357,2.9603477546203614,-0.23554562436914106,2.2471348585183417,2.9949577793159876,2.9857366379146075,0.5352969763812362,0.524897859337883,0.8553910397231285,0.8349098683778173,2.970271089318243,0.5409373675942029,0.7816530784729804
