frame,v0_x,v0_y,v0_z,v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v3_x,v3_y,v3_z,v4_x,v4_y,v4_z,v5_x,v5_y,v5_z,v6_x,v6_y,v6_z,v7_x,v7_y,v7_z,m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
0,2.0496714153011233,-1.0138264301171185,-0.9352311461899308,4.1523029856408025,-1.0234153374723336,-1.023413695694918,4.157921281550739,1.076743472915291,-1.0469474385934951,2.0542560043585967,0.9536582307187538,-1.0465729753570256,2.0241962271566036,-1.1913280244657798,0.8275082167486967,3.9437712470759028,-1.1012831120334423,1.0314247332595274,3.909197592447879,0.8587696298664709,1.1465648768921555,1.9774223699513465,1.0067528204687923,0.8575251813786543,2.945561727547482,-1.4889077410290135,-0.11509935774223029,4.337569801834567,-1.0600638689918804,-0.7291693749793277,2.1398293387770604,-0.6147721815491063,1.3986502775262064
1,1.8466813620143996,-0.8182525118198979,-0.9851013450993162,3.9697065977120625,-1.0717989197781983,-1.1137627381444335,3.9459267757921968,1.1975607235220198,-0.9276677906896384,1.9183080406648632,1.068928600323554,-0.9747296646930017,1.9988142891496339,-0.9813133881496878,1.2388884000184672,4.101528322247548,-1.0868784309499866,1.0476574211836787,4.006078679242767,1.0212793574683905,1.112556167574241,2.1513190762323973,1.1574244737706103,1.0853939395202665,2.9845331330167997,-1.3723008593097836,0.1646356561717397,4.2181099201841645,-0.895907916914127,-0.8098377300032312,2.1722261183263902,-0.6585233235637186,1.6598600478827736
2,1.8973014379662045,-0.7020667047502401,-0.6875121787710021,3.8254759425700207,-0.7149321144044272,-0.8048419244094819,3.843430763050963,1.4035783741144192,-1.147086682303625,1.9437181494931852,1.2044703957726617,-0.6800431071609241,2.150323081261221,-1.0691277828172274,1.2391446838038123,4.1623437286651415,-0.6712331672988125,0.9743150509798854,4.002808560156072,1.128987407356869,1.1912156937388856,2.1310475635050645,1.074838771754445,1.3859720250603271,3.03601885352105,-1.213403204974986,0.06264448408765004,4.190541206579216,-0.7927728768535125,-0.8425243977568382,2.412339033694587,-0.6529021431954422,1.6424371099625865
3,1.8328673696524682,-0.8473845327133072,-0.6245908518500205,3.789450632678609,-0.7061607806269647,-0.9493209167693542,3.8030227644354477,1.5586100365839133,-0.8037004567919466,1.8209767164849677,1.2826324500827806,-0.6623693335757659,2.2081027213195643,-0.7993185455576716,1.629626393080833,4.158914013727677,-0.6952724275149502,1.0291649788325112,4.000177900866544,1.3847796198708535,1.2198635665993356,2.2287528979914986,1.0996441881364147,1.635615720453537,2.8923290917129805,-1.1559327257901773,0.41609195381386765,4.0729420559005876,-0.6854997821510869,-0.6809528377875111,2.4219213082041673,-0.7727228407699767,1.7594609877439003
4,1.7018612276286424,-0.5635332091243279,-0.532068070859035,3.905255813969868,-0.5789571674113646,-0.9368910308070386,3.754716495925633,1.3690530769872216,-0.7304492208486743,1.861908275150048,1.2211305711643892,-0.2701725967050405,2.305311713123043,-0.6619578200670605,1.3755698047158433,4.089448546856635,-0.5776853366729967,1.064404111376154,4.169645893920202,1.3975366745233693,1.1181928367723697,2.2256512041348535,1.2819384868934345,1.5793193988783985,3.2205947545174953,-1.071195517322177,0.1402872323689795,4.177928125706068,-0.6009480613574991,-0.6047517250889523,2.675956676057072,-0.6377546740095054,1.9521736366886018
5,1.801236842101895,-0.4354464578025188,-0.10735645699313012,3.6453292775370905,-0.4507589056574906,-0.9621871307159064,3.4979952569861084,1.6056432073029894,-0.6473761221203091,1.6973360256865215,1.553804518567776,-0.10399119791935343,2.491907165803906,-0.7012122713268102,1.8805592193857774,4.319029832593808,-0.6181951590644167,0.925253120425875,4.2144185356869,1.433912985510768,1.2954867877925764,2.3035857168908036,1.3067091881974398,1.7156072990713558,2.879299152057871,-1.0669021006856156,0.4053570948812328,4.0657531158117575,-0.5021832065360635,-0.6565108763446593,2.684366251404485,-0.5814505692587006,1.9665848684840916
6,1.71789906280334,-0.5405163811572943,-0.11804261744013672,3.638895661867743,-0.14210642585450706,-0.7335886816907305,3.343816114537525,1.6396483231204755,-0.554826009746939,1.6622226281522752,1.6091277945403952,0.46409114601692303,2.4692295041082146,-0.4955863755795803,1.806103370871159,4.348018596441658,-0.46486206285947745,1.1014525831519095,4.104362791959636,1.5268253782145789,1.2096586567460885,2.3190937090798447,1.6061652943537332,1.75661602568908,3.0914133896467813,-1.0870094263248082,0.33051412962826154,4.077332460980507,-0.2450509163156701,-0.7698368125005193,2.6575730205663826,-0.36180286450023225,1.9653206226502018
7,1.6862367890689,-0.33212196885873163,-0.07620767866095965,3.703799736502811,-0.0625371562318502,-1.0045339706828103,3.398369281512004,1.7859940947419568,-0.44276316064683685,1.4756573787322156,1.629949002686644,0.3134643018882581,2.5623522410144357,-0.6633429335451178,1.7718942452375825,4.253096587940903,-0.3978961217114497,1.1909177247331155,4.231407812617878,1.519450205794864,1.3801717133010738,2.5783108637634697,1.5380350328980217,1.9274205901168666,2.96158798668103,-0.7024555106535453,0.3623920773677882,3.9291872987268457,-0.04784825996146251,-0.7408997674840503,2.803574636281023,-0.6898816654377421,2.0144881222100515
8,1.5923709987319068,-0.37389043578913433,0.2939630412538119,3.246930396863864,-0.04616040339990796,-0.749459926905999,3.418471438710615,1.8257974202504343,-0.33051492262816773,1.503050695117258,1.6242766074011434,0.4926349450779199,2.5570608265251296,-0.537266000095129,1.8990725286478116,4.2709402180703115,-0.21893641499168495,1.065049492105658,4.352472834515099,1.6174698906990932,1.5278424489101243,2.226345652159609,1.47911676821578,2.2666267275882124,3.0205489888013393,-0.7948549830614361,0.465041271023637,3.7444210057768337,-0.058268835213254745,-0.5473565978635702,2.9224334437768773,-0.37031213556653253,2.276571068679336
9,1.6020390213121798,-0.08230639739158813,0.33389069533618215,3.201862740737791,0.06467240452665182,-0.6459381763612365,3.226831627894504,2.082781995725619,-0.3513915707028489,1.580107918324521,1.7414318984166177,0.6831807771006603,2.5757482474671116,-0.4326936392093802,2.0804823791694362,4.391962320214783,-0.04529143746476119,1.1095572266687665,4.192553429000416,1.905734542640356,1.3055258981338236,2.509416507480505,1.5402418222522585,2.3378475183098244,3.029622489933651,-0.717984985137423,0.7448214991571642,3.594877246093747,0.004814178499174426,-0.4986442193021289,3.039514024016655,-0.17313364266392556,2.30996940944477
